request_id,prompt,ttft_ms,tpot_ms,total_ms,queue_wait_ms,connect_wait_ms,input_tokens,output_tokens,tokens_per_sec,num_requests_running,num_requests_waiting,kv_cache_usage_perc,error
s5-r2,Do you offer refunds for accidental purchases?,1221.74225,217.21957336956527,11453.133375,5.054416000000006,55.41295800000001,15,48,4.190992842602778,8.0,0.0,0.021753039027511245,
1,What is PagedAttention in one sentence?,1226.5448749999998,217.21981793478264,11454.247707999999,0.19225000000000492,55.034500000000016,15,48,4.190585119481511,8.0,0.0,0.021753039027511245,
5-r3,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,1015.897917,218.59196638709687,14791.749917000001,5.2257500000000014,37.53483299999999,23,64,4.326736211680099,9.0,0.0,0.026231605886116394,
5,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,1221.067458,218.80371103225806,15155.388083,5.405207999999995,52.837707999999985,23,64,4.222920564587168,8.0,0.0,0.022392834293026187,
s6-r2,The live chat agent disconnected. Can you reconnect me?,625.631834,220.2794615384616,15160.702084000002,11506.22175,82.49783400000155,18,67,4.41932040012244,9.0,0.0,0.04350607805502238,
s1-r3,My order hasn't arrived yet. Can you check the status?,786.951792,220.0303030363637,13114.580334,14812.334291000001,18.420084000000614,19,57,4.346307586543623,9.0,0.0,0.04222648752399227,
s10,The confirmation email never arrived.,648.478707999999,221.4256802955976,36081.17075,15167.084375,8.762958000000154,11,161,4.462161195254453,9.0,0.0,0.07869481765834929,
s7,I was double charged this month. Why?,1223.049792,221.86768031465513,52938.081374999994,3.918375000000002,53.94995899999999,14,234,4.4202584211997245,9.0,0.0,0.07165706973768393,
4,What is continuous batching and why does it improve GPU utilization?,1222.3534169999998,222.5471894243698,54416.78375,4.67066599999999,53.972250000000024,19,240,4.41040398680306,8.0,0.0,0.05310300703774795,
4-r3,What is continuous batching and why does it improve GPU utilization?,1222.545792,222.54594239915969,54412.48325,4.311583000000008,71.36154199999997,19,240,4.410752563842967,8.0,0.0,0.05310300703774795,
s9,Where can I download my previous invoices?,626.823667,223.94676942788462,47452.168625,11504.925207999999,83.48633299999975,15,210,4.425509014341702,9.0,0.0,0.055022392834293,
s4-r2,How do I update my billing information?,1222.526583,223.38528453992384,60222.240166999996,4.127790999999991,42.33424999999999,14,265,4.400367692486009,9.0,0.0,0.04606525911708248,
s1,My order hasn't arrived yet. Can you check the status?,632.7621659999991,229.29713181818198,13490.244083,54469.947458,45.67254100000184,19,57,4.225275662123096,9.0,0.0,0.05694177863083816,
s15-r3,My payment keeps failing—what can I try?,1222.5912910000002,224.4070031645568,72369.455625,4.488249999999999,68.16899999999998,15,318,4.3941190002560555,9.0,0.0,0.05118362124120279,
s2-r3,I forgot my password and can't log in. What should I do?,791.8395419999981,226.74509792385786,45694.322167,27937.998708,11.640707999998057,21,199,4.355026851535526,9.0,0.0,0.04542546385156754,
s12,I need help cancelling my subscription.,786.4619579999967,231.23236882716046,19754.938165999996,58975.045416,34.14370799999489,14,83,4.201481133605894,9.0,0.0,0.0499040307101728,
s7-r2,I was double charged this month. Why?,791.4797920000005,228.28306644827566,53983.011542,26684.872540999997,18.995416999999293,14,234,4.334697033675914,9.0,0.0,0.04414587332053743,
3,Write a haiku about GPU memory bandwidth.,771.3888330000032,220.6452064545456,5855.423291000008,80693.94858299999,34.81158300000686,15,24,4.098764309130109,9.0,0.0,0.05310300703774795,
s5-r3,Do you offer refunds for accidental purchases?,815.8398329999983,227.251056173913,11504.751791999994,78743.235083,23.882041999996773,15,48,4.172189097845426,9.0,0.0,0.05758157389635321,
s8,How do I activate two-factor authentication?,1222.2557920000002,226.13743850240382,95534.862459,4.879749999999988,72.067792,14,418,4.375366114955051,9.0,0.0,0.05118362124120279,
s9-r2,Where can I download my previous invoices?,760.4644170000015,227.69748317307702,48385.354875,60254.599166,19.830583999997486,15,210,4.340156242369608,9.0,0.0,0.06461932181701857,
s10-r2,The confirmation email never arrived.,776.4983750000027,226.84671122012568,37069.378542,73647.422125,28.015834000001405,11,161,4.343207421661663,9.0,0.0,0.06333973128598847,
s6-r3,The live chat agent disconnected. Can you reconnect me?,785.4277499999966,220.99850704615397,15583.383499999996,95566.142541,27.54912500000728,18,67,4.299451399627046,8.0,0.0,0.06014075495841331,
s3-r3,The app keeps crashing when I try to open it.,633.2650000000015,228.50887348727278,63702.892834000006,54469.386416,45.87162499999664,17,277,4.348311162600098,9.0,0.0,0.06206014075495836,
1-r2,What is PagedAttention in one sentence?,815.6413749999984,223.3651449347827,11320.396208000006,110740.585583,25.26433299999553,15,48,4.240134277816081,9.0,0.0,0.06653870761356362,
s4-r3,How do I update my billing information?,765.4385830000052,227.7608607414449,60919.97195799999,67984.41025,28.283165999994253,14,265,4.349969172387321,9.0,0.0,0.06781829814459372,
s12-r2,I need help cancelling my subscription.,612.4159999999961,226.5081831358024,19224.18954199999,111160.79979099998,7.252583999999729,14,83,4.317477198124061,9.0,0.0,0.06781829814459372,
s11,Is there a way to export my account data?,765.7379999999989,229.35487463662798,79972.619291,51273.571333,24.237625000004925,15,346,4.326480776389155,9.0,0.0,0.05566218809980805,
s14,How do I change the language settings?,773.337166999994,228.8238780701755,66449.79483299999,72404.14545799998,29.3075829999907,13,287,4.3190502050650625,9.0,0.0,0.05694177863083816,
