request_id,prompt,ttft_ms,tpot_ms,total_ms,queue_wait_ms,connect_wait_ms,input_tokens,output_tokens,tokens_per_sec,num_requests_running,num_requests_waiting,kv_cache_usage_perc,gpu_util_pct,error
s6,The live chat agent disconnected. Can you reconnect me?,69867.086083,207.4935624999999,79786.425666,6.235375000000015,459.480416,18,49,0.6141395555820812,9.0,0.0,0.012450652900091064,95.89,
1-r3,What is PagedAttention in one sentence?,69866.490542,224.52197331999997,81207.2545,5.1303330000000145,413.8795829999999,15,53,0.6526510510215563,8.0,0.0,0.012146978439113276,94.97,
s5,Do you offer refunds for accidental purchases?,69868.148208,253.34101475384608,87060.706375,5.498332999999994,413.0447079999999,15,71,0.8155229029980404,9.0,0.0,0.013969025204980223,27.8,
3-r3,Write a haiku about GPU memory bandwidth.,3862.8850410000127,314.86920454545435,11534.335916000004,80449.57325,2542.8516250000116,15,24,2.0807439782214154,9.0,0.0,0.016398420892802967,98.49,
3,Write a haiku about GPU memory bandwidth.,5107.2015830000055,352.8964265714282,13094.493333000002,93883.356917,3284.7294999999976,15,24,1.8328315109005826,9.0,0.0,0.022168235651381707,24.71,
s2-r2,I forgot my password and can't log in. What should I do?,69868.007209,352.6641754203822,125363.38770899999,5.7117080000000096,414.33504200000004,21,169,1.3480809914956318,8.0,0.0,0.023990282417248654,39.92,
s12-r3,I need help cancelling my subscription.,69868.101667,339.98411519607856,124414.52349999998,5.317542000000008,473.99920899999995,14,165,1.3262117263986468,8.0,0.0,0.023990282417248654,25.36,
s1-r2,My order hasn't arrived yet. Can you check the status?,69868.641,378.02947980981594,136731.186959,4.929000000000016,443.190334,19,176,1.287197192640294,7.0,0.0,0.021257212268448233,18.4,
s3-r2,The app keeps crashing when I try to open it.,69867.442209,420.69121684782573,166987.44999999998,6.41233300000002,474.68654200000003,17,245,1.467176126110076,9.0,0.0,0.030671120558760978,93.58,
s13,Why is the search function returning no results?,69867.76575,413.2862595062241,169713.49775,4.6737920000000095,442.030333,14,256,1.5084245118623747,8.0,0.0,0.022471910112359605,,
s13-r3,Why is the search function returning no results?,69867.43070900001,413.2823708506225,169716.277834,6.0633750000000095,475.579959,14,256,1.5083998027012728,8.0,0.0,0.022471910112359605,,
2-r3,Explain the difference between TTFT and TPOT.,69867.89595800001,415.66421107818917,170884.65708299997,5.888417000000007,447.492,18,258,1.5097903135603767,7.0,0.0,0.017005769814758542,,
s4-r2,How do I update my billing information?,2864.489292000002,479.36722451798556,69702.651958,107067.715,1398.3140419999954,14,146,2.094611838986753,,,,98.37,
s6-r2,The live chat agent disconnected. Can you reconnect me?,3009.6076659999935,353.9826055106384,20074.52199999997,181949.931875,2425.757207999993,18,49,2.4409049440878374,9.0,0.0,0.029456422714849717,63.04,
s5-r2,Do you offer refunds for accidental purchases?,3761.099542000011,367.10462076811604,29338.125042,175080.75704199998,3029.8272920000218,15,71,2.4200592198157693,9.0,0.0,0.029456422714849717,44.41,
s7,I was double charged this month. Why?,1304.9152500000077,432.8992232142854,116674.49204200001,88688.95425,552.1087500000021,14,285,2.4426933000694517,9.0,0.0,0.02459763133920434,91.31,
5-r3,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,9682.44525,305.2892240215055,38533.29854200001,175140.213958,9134.972875000018,23,95,2.4654001498587816,9.0,0.0,0.02884907379289403,97.88,
1,What is PagedAttention in one sentence?,598.4628749999956,241.19396486274502,13124.067832999997,204546.462375,111.55949999999848,15,53,4.0383820530653916,9.0,0.0,0.030671120558760978,99.1,
s15-r3,My payment keeps failing—what can I try?,16374.272832999992,314.47917579338844,92766.63987499998,128931.04095800001,3134.1316669999915,15,253,2.7272735149285263,9.0,0.0,0.029456422714849717,95.23,
s14-r3,How do I change the language settings?,3328.0937499999936,379.9671404000002,153734.99108299997,82680.203083,1601.2202919999936,13,418,2.7189646095229287,9.0,0.0,0.03188581840267235,99.28,
4-r3,What is continuous batching and why does it improve GPU utilization?,16383.04100000002,311.2623030936454,109695.98870800002,128922.068083,3141.8013330000176,19,314,2.8624565373656212,9.0,0.0,0.02733070148800487,98.66,
4,What is continuous batching and why does it improve GPU utilization?,10593.998999999996,300.65989339464863,100857.16862499999,138124.16454199998,428.44449999998346,19,314,3.1133136521757088,8.0,0.0,0.021257212268448233,98.66,
s1-r3,My order hasn't arrived yet. Can you check the status?,2149.472959000008,261.3572881904763,46580.051459,202268.067583,1569.6870840000088,19,174,3.73550467528263,9.0,0.0,0.025812329183115712,82.37,
s9,Where can I download my previous invoices?,8966.214959000012,290.8354179347826,76080.302834,175993.91616700002,8363.017624999997,15,236,3.1019855495965833,9.0,0.0,0.022775584573337393,97.77,
s2-r3,I forgot my password and can't log in. What should I do?,742.0659590000014,270.1843734662578,46102.450084,217709.338667,82.67849999998589,21,169,3.6657487767369656,9.0,0.0,0.028241724870938345,98.33,
5,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,941.3803340000015,265.0690707849464,25740.72799999999,238790.148,297.63249999999175,23,95,3.690649308753041,8.0,0.0,0.0261160036440935,98.3,
s10,The confirmation email never arrived.,791.0650830000066,265.88798967226893,64832.984499999984,205389.52858299998,130.9092909999947,11,244,3.7635163934185396,9.0,0.0,0.0261160036440935,91.18,
s11-r3,Is there a way to export my account data?,1036.4618749999863,271.32241068776386,65762.26645800003,222143.85450000002,376.61483299999077,15,243,3.6951281196367414,9.0,0.0,0.03431521409049498,97.32,
s7-r2,I was double charged this month. Why?,1399.6838749999938,268.6825757168455,76650.01287499999,214359.936667,811.3218339999833,14,285,3.718198984059858,9.0,0.0,0.03036744609778319,97.41,
s12,I need help cancelling my subscription.,785.41066599999,267.4787065460124,44741.336458000005,252107.782417,207.48541599999726,14,165,3.6878648038350463,9.0,0.0,0.030974795019738877,99.1,
s8,How do I activate two-factor authentication?,1275.9573329999796,288.53070916114785,132200.90437499998,167127.747583,661.901333000003,14,466,3.5249380645547497,9.0,0.0,0.023686607956270866,95.03,
s11,Is there a way to export my account data?,1395.0347920000183,268.28339712863044,66327.641167,236566.401125,722.9909170000042,15,243,3.6636309647764143,9.0,0.0,0.021257212268448233,95.74,
s4-r3,How do I update my billing information?,922.626915999956,272.9479988472224,40926.80945799998,264548.831958,134.54916599999933,14,146,3.5673438006407148,9.0,0.0,0.020649863346492547,72.49,
s3-r3,The app keeps crashing when I try to open it.,1103.9133330000084,298.71594791810344,70899.57766700002,251338.430708,312.2697080000023,17,234,3.3004427910564913,9.0,0.0,0.022471910112359605,97.43,
s5-r3,Do you offer refunds for accidental purchases?,1690.5204169999593,404.5984403846163,28342.517666999982,296995.798583,824.9908329999585,15,71,2.5050703269973567,,,,,
s9-r2,Where can I download my previous invoices?,1350.3420830000437,857.2126222587717,197252.413917,264121.036917,561.1662920000526,15,235,1.1913669157878264,,,,,
s6-r3,The live chat agent disconnected. Can you reconnect me?,3607.8822499999887,2975.96116576087,140886.71462499996,323079.751583,2338.8717919999635,18,49,0.34779716547741174,,,,0.56,
1-r2,What is PagedAttention in one sentence?,116714.12433300003,2049.2903291599987,219488.85450000004,335417.456667,1056.6291659999933,15,53,0.24147011984155206,,,,,
2,Explain the difference between TTFT and TPOT.,3480.533166999976,1140.0814256294823,290012.16179200006,270572.69175000006,642.4518329999955,18,258,0.8896178643192229,,,,9.33,
s1,My order hasn't arrived yet. Can you check the status?,882.1608330000004,1853.267144187051,258958.13733300002,299396.335625,138.18541699998832,19,146,0.5637976914093082,,,,9.33,
s8-r2,How do I activate two-factor authentication?,717.6109170000018,1052.5973412598603,455034.739,239014.091458,91.43337500000825,14,438,0.9625638714146614,,,,,
s10-r2,The confirmation email never arrived.,2784.1514579999966,1691.4763866033752,404185.58862500003,291362.12112500006,1473.0092080000077,11,244,0.6036830774448545,,,,99.46,
s11-r2,Is there a way to export my account data?,9507.691625000007,1668.9713808510633,401962.04475,306196.6890000001,950.8600409999985,15,243,0.6045346897146313,9.0,0.0,0.025812329183115712,90.94,
s15,My payment keeps failing—what can I try?,1392.6889169999868,1647.5550751714309,405331.77208399994,303114.69929200003,560.8952919999979,15,253,0.6241800357746663,8.0,0.0,0.020649863346492547,90.94,
3-r2,Write a haiku about GPU memory bandwidth.,754.1959580000821,207.91932538095028,5557.862875000069,708342.599417,140.85150000005342,15,23,4.138281299356403,,,,,
s12-r2,I need help cancelling my subscription.,83196.04199999997,990.393037296296,243992.12395900002,471400.42220800003,5676.693250000028,14,165,0.6762513368166191,,,,,
s2,I forgot my password and can't log in. What should I do?,77680.14358300001,509.7377272727271,161791.02579100005,564932.706333,12950.286832999951,21,169,1.0445573181439152,,,,98.94,
s14,How do I change the language settings?,1735.1344580000045,1100.9453753063729,451142.596625,288129.92945800006,800.4576250000355,13,418,0.9265363171801113,9.0,0.0,0.024293956878226552,97.45,
s7-r3,I was double charged this month. Why?,82670.45845799998,690.1594205357147,276178.33216600004,471925.77504200005,5274.708374999989,14,285,1.031941925946231,9.0,0.0,0.027027027027026973,,
2-r2,Explain the difference between TTFT and TPOT.,76791.92487499995,414.5322652091256,186197.408708,565821.263167,14256.02470800004,18,268,1.4393325979110971,8.0,0.0,0.022168235651381707,99.08,
s13-r2,Why is the search function returning no results?,76790.022583,403.7840278767604,191730.843541,565823.4686249999,14280.535915999963,14,289,1.50732138169621,9.0,0.0,0.021257212268448233,98.4,
s3,The app keeps crashing when I try to open it.,2663.7817079999877,291.992375726087,70354.86154199998,705074.96025,1610.978292000027,17,234,3.3259961695796703,8.0,0.0,0.02459763133920434,94.25,
s4,How do I update my billing information?,10771.974708000016,309.8973761597219,55692.99145799994,725408.129875,9901.435624999976,14,146,2.6215147755189947,7.0,0.0,0.022775584573337393,96.17,
5-r2,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,846.8034159999434,352.8706872405066,29008.781915999974,755531.9604999999,170.19649999997455,23,81,2.7922578836488112,6.0,0.0,0.022471910112359605,99.25,
s9-r3,Where can I download my previous invoices?,12267.128208999908,282.8474874806867,79043.82558399993,723912.08875,11390.969959000016,15,236,2.9856854505251977,5.0,0.0,0.026723352566049186,67.55,
s15-r2,My payment keeps failing—what can I try?,1523.9244579998967,274.5780445,70397.66104199998,739340.7657079999,260.6292499999654,15,253,3.5938694021248456,,,,,
s14-r2,How do I change the language settings?,831.7770840000094,261.9017775742092,108571.7034170001,708471.8682499999,224.45437500005028,13,418,3.8499902538560504,,,,29.02,
s10-r3,The confirmation email never arrived.,978.5140000000183,252.8527981171549,61545.830375000034,755399.866542,301.5467500000568,11,244,3.9645252734962364,,,,29.02,
4-r2,What is continuous batching and why does it improve GPU utilization?,1818.74433400003,257.94153168608403,81804.10662500003,734361.6212919999,952.0592090000264,19,314,3.8384381048180645,,,,29.02,
s8-r3,How do I activate two-factor authentication?,3665.923666000026,246.33024099344976,116571.08141600009,704072.717667,2602.4197080000704,14,465,3.9889824676206183,0.0,0.0,0.0,29.02,
