request_id,prompt,ttft_ms,tpot_ms,total_ms,queue_wait_ms,connect_wait_ms,input_tokens,output_tokens,tokens_per_sec,num_requests_running,num_requests_waiting,kv_cache_usage_perc,error
1,What is PagedAttention in one sentence?,22168.864334,163.79075080392153,30714.32625,0.14704200000001388,202.959459,15,53,1.725579117985699,4.0,0.0,0.006073489219556638,
s5-r2,Do you offer refunds for accidental purchases?,434.45641599999976,167.60848128985498,12174.778249999996,30737.6145,18.925832999997283,15,71,5.831728393081822,4.0,0.0,0.010932280595201904,
s4-r2,How do I update my billing information?,22291.592125,166.58743199999995,46450.278,3.851999999999994,199.96233300000003,14,146,3.1431458817103315,4.0,0.0,0.01032493167324633,
5,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,469.62020800000204,170.208815860215,16469.852000000003,42954.220917,60.636000000002355,23,95,5.768114977596641,4.0,0.0,0.01579107197084728,
s6-r2,The live chat agent disconnected. Can you reconnect me?,482.89333399999634,168.16603544680856,8560.575125,59444.07341700001,24.226541999993856,18,49,5.72391448991577,4.0,0.0,0.019435165502581286,
s7,I was double charged this month. Why?,22291.92175,167.9983642508833,70006.1185,3.6342500000000055,199.9005,14,285,4.071072730592827,4.0,0.0,0.015183723048891595,
4,What is continuous batching and why does it improve GPU utilization?,22291.592208000002,168.4695775897436,75033.904541,4.018667000000003,199.998625,19,314,4.184774895039938,4.0,0.0,0.012146978439113276,
s9,Where can I download my previous invoices?,490.79104100000137,170.96824341452987,40678.000250000005,46461.394375,9.950541000002033,15,236,5.801661796292456,4.0,0.0,0.013969025204980223,
s8,How do I activate two-factor authentication?,22291.321708,169.16114048165133,96215.53137499999,4.17716700000001,199.506042,14,438,4.552279592916191,4.0,0.0,0.010932280595201904,
s10,The confirmation email never arrived.,474.60520799999983,171.92855096694234,42263.10745799999,68015.668459,22.67079199999955,11,244,5.773356827641721,4.0,0.0,0.014272699665958122,
s11,Is there a way to export my account data?,480.3602920000003,171.5413362738591,42001.40670900001,75052.09920899999,8.994999999998754,15,243,5.785520510862563,4.0,0.0,0.01305800182204675,
s7-r2,I was double charged this month. Why?,497.22041599999045,171.6013953180213,49236.126333,70016.59474999999,4.2243749999926195,14,285,5.788432625110512,4.0,0.0,0.009110233829334957,
s1,My order hasn't arrived yet. Can you check the status?,570.2861249999955,170.4116325116279,30051.192541999997,96229.10525,15.784874999994258,19,174,5.790119635246255,4.0,0.0,0.009717582751290643,
s12,I need help cancelling my subscription.,464.7585000000021,170.07579524539864,28358.696582999997,110296.522959,24.10145799998986,14,165,5.818321004883964,4.0,0.0,0.01305800182204675,
3,Write a haiku about GPU memory bandwidth.,472.1665410000071,168.03506747618934,4172.407958000008,138666.147375,17.566125000001875,15,23,5.512404403289645,4.0,0.0,0.015183723048891595,
s9-r2,Where can I download my previous invoices?,483.14658399999644,170.94904721030036,40495.29249999999,117076.06104199999,19.614584000009927,15,235,5.803143661698456,4.0,0.0,0.018524142119647702,
s8-r2,How do I activate two-factor authentication?,464.0043750000018,170.8778804472476,75141.652375,87153.80404199999,8.205291999999531,14,438,5.828990794800844,4.0,0.0,0.012754327361068962,
