request_id,prompt,ttft_ms,tpot_ms,total_ms,queue_wait_ms,connect_wait_ms,input_tokens,output_tokens,tokens_per_sec,num_requests_running,num_requests_waiting,kv_cache_usage_perc,gpu_util_pct,error
1,What is PagedAttention in one sentence?,1177.665709,169.76686109803921,10386.982292,6.6315829999999965,287.73895899999997,15,53,5.102540710098285,4.0,0.0,0.006125574272588086,,
s5,Do you offer refunds for accidental purchases?,1063.3260409999998,164.4494843043478,12619.523375,7.07887500000004,285.68179100000003,15,71,5.626202978525725,4.0,0.0,0.006125574272588086,,
s1,My order hasn't arrived yet. Can you check the status?,1177.470083,168.460132236111,25988.049750000002,6.884000000000001,287.346625,19,146,5.617966773362822,4.0,0.0,0.01071975497702915,,
s2,I forgot my password and can't log in. What should I do?,1183.8095420000002,167.6861614251497,29379.462583,0.30241600000002755,293.76166700000005,21,169,5.752317610390512,4.0,0.0,0.009494640122511444,,
s4,How do I update my billing information?,1166.0479160000002,168.64528125000004,25819.463416,10596.024958,638.7860000000014,14,146,5.654648884357745,4.0,0.0,0.010413476263399724,,
3,Write a haiku about GPU memory bandwidth.,1334.4699160000032,167.95230757142846,5307.000541,36625.769708,795.382833000005,15,23,4.333898182657072,4.0,0.0,0.01316998468606434,,
5,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,1115.413083,162.55653047311836,16481.489625000002,26248.773166,548.3604580000012,23,95,5.764042095800548,3.0,0.0,0.011026033690658466,,
4,What is continuous batching and why does it improve GPU utilization?,1178.0848750000002,153.5420653044871,49309.388957999996,6.390500000000021,294.25170800000006,19,314,6.367955609173218,2.0,0.0,0.008575803981623276,,
2,Explain the difference between TTFT and TPOT.,666.7911669999995,142.760490131579,38839.489459,12713.392375,218.30529200000015,18,268,6.900193687739072,1.0,0.0,0.003675344563552785,,
s3,The app keeps crashing when I try to open it.,608.7771249999996,116.62487585596709,29074.729083000002,29467.5655,247.5591659999985,17,245,8.426561750604636,0.0,0.0,0.0,,
