request_id,prompt,ttft_ms,tpot_ms,total_ms,queue_wait_ms,connect_wait_ms,input_tokens,output_tokens,tokens_per_sec,num_requests_running,num_requests_waiting,kv_cache_usage_perc,gpu_util_pct,error
1,What is PagedAttention in one sentence?,8314.87646199821,134.8801350800204,11865.851504997408,3.4437499998603016,401.1227080009121,38,27,2.2754372063925383,4.0,0.0,0.006349206349206327,,
2,Explain the difference between TTFT and TPOT.,631.3766659986868,162.22019430208925,32042.669138001656,11885.904588998528,23.535666001407662,40,194,6.054426963137154,4.0,0.0,0.01904761904761909,,
s2,I forgot my password and can't log in. What should I do?,7364.348377999704,168.08274977007306,53595.84252399873,0.10020899935625494,396.4770829988993,44,276,5.149653163422422,4.0,0.0,0.015873015873015928,,
s3,The app keeps crashing when I try to open it.,7359.195961998921,169.23045268661772,55584.742524999456,3.5785000000032596,392.2173329992802,40,286,5.145296838810945,4.0,0.0,0.012698412698412653,,
s9,Where can I download my previous invoices?,8316.980046001845,167.8173843333247,56826.952983999945,3.3311669976683334,397.25212499979534,37,290,5.1032122042801005,4.0,0.0,0.00952380952380949,,
3,Write a haiku about GPU memory bandwidth.,660.2034169991384,184.5501019445995,4103.112836000946,55596.812441999646,8.426125001278706,38,20,4.87434803754819,4.0,0.0,0.00952380952380949,,
s5,Do you offer refunds for accidental purchases?,700.9088749982766,171.680988727365,2702.1745849997387,59705.34686099927,4.215499997371808,37,13,4.8109400747699125,4.0,0.0,0.011111111111111072,,
s15,My payment keeps failing—what can I try?,7351.5429200015205,173.37861347837747,71688.14932399982,3.1738750003569294,394.5952499998384,39,372,5.189142187486509,4.0,0.0,0.00952380952380949,,
s10,The confirmation email never arrived.,1234.5647500005725,181.70264573214874,42100.5748940006,43953.84756099884,28.443666000384837,35,226,5.368097717644359,4.0,0.0,0.011111111111111072,,
s6,The live chat agent disconnected. Can you reconnect me?,635.8926670000073,197.52622118548678,25288.861719000124,86068.57458100058,31.612291000783443,40,126,4.982430660583399,4.0,0.0,0.01746031746031751,,
s4,How do I update my billing information?,817.8854170000704,188.47754591714224,66988.10873799812,53609.80881599971,13.102249999064952,37,352,5.254663949041043,4.0,0.0,0.015873015873015928,,
s12,I need help cancelling my subscription.,691.5803749980114,191.04078190938677,60141.03961000001,62417.67898699982,8.558082998206373,36,311,5.171177652011991,4.0,0.0,0.012698412698412653,,
s11,Is there a way to export my account data?,683.3420420007315,191.06902863823052,65800.17390400099,56911.34148399942,40.36304100009147,39,342,5.197554652347274,3.0,0.0,0.007936507936507908,,
s1,My order hasn't arrived yet. Can you check the status?,988.8764179995633,184.23231657694626,10771.189464001509,122717.57726400028,30.927667001378722,42,54,5.013373887858337,4.0,0.0,0.011111111111111072,,
5,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,794.69087599864,199.39914482455876,23723.930177999137,111369.6352170009,17.066833999706432,45,116,4.8895777019093964,4.0,0.0,0.00952380952380949,,
4,What is continuous batching and why does it improve GPU utilization?,1073.6393330007559,180.90101696969379,96738.86570999821,71713.8896159995,23.522291998233413,41,530,5.478666677660074,4.0,0.0,0.015873015873015928,,
s7,I was double charged this month. Why?,720.8049590008159,170.54773699676116,53591.48702400125,122567.58459699995,20.030750001751585,38,311,5.803160488170759,3.0,0.0,0.014285714285714235,,
s13,Why is the search function returning no results?,685.9908750011527,168.59261307969265,66438.26973800242,120619.81280499822,15.865375000430504,38,391,5.885162294892662,2.0,0.0,0.00952380952380949,,
s8,How do I activate two-factor authentication?,598.6440000015136,157.92789558966192,52693.31444099953,135101.76347800007,6.288083000981715,37,331,6.281631806832331,1.0,0.0,0.004761904761904745,,
s14,How do I change the language settings?,958.2507089980936,159.08152727941555,55183.42110899903,133506.62876899878,12.300083999434719,37,342,6.197513548942119,0.0,0.0,0.0,,
